Serial No.,Roll No.,Reg. Type(C/A),Registration Status,Student Status
1,130040044,Credit,Approved,Active
2,130110008,Credit,Approved,Active
3,13D100008,Credit,Approved,Active
4,140010007,Credit,Approved,Active
5,140010011,Credit,Approved,Active
6,140010018,Credit,Approved,Active
7,140010027,Credit,Approved,Active
8,140010062,Credit,Approved,Active
9,140020003,Credit,Approved,Active
10,140050042,Credit,Approved,Active
11,140050047,Credit,Approved,Active
12,140050056,Credit,Approved,Active
13,140050057,Credit,Approved,Active
14,140050068,Credit,Approved,Active
15,140050072,Credit,Approved,Active
16,140050078,Credit,Approved,Active
17,140050081,Credit,Approved,Active
18,140050082,Credit,Approved,Active
19,140050084,Credit,Approved,Active
20,140070021,Credit,Approved,Active
21,140070022,Credit,Approved,Active
22,140070041,Credit,Not Approved,Active
23,140070050,Credit,Approved,Active
24,140070060,Credit,Approved,Active
25,140110044,Credit,Approved,Active
26,140110055,Credit,Approved,Active
27,14D070002,Credit,Approved,Active
28,14D070004,Credit,Not Approved,Active
29,14D070006,Credit,Approved,Active
30,14D070016,Credit,Approved,Active
31,14D070017,Credit,Approved,Active
32,14D070018,Credit,Approved,Active
33,14D070041,Credit,Approved,Active
34,14D070047,Credit,Approved,Active
35,14D070053,Credit,Approved,Active
36,14D070055,Credit,Approved,Active
37,14D070058,Credit,Not Approved,Active
38,150010002,Credit,Approved,Active
39,150010017,Credit,Approved,Active
40,150020010,Credit,Approved,Active
41,150070005,Credit,Approved,Active
42,150070015,Credit,Approved,Active
43,150070037,Credit,Approved,Active
44,150070042,Credit,Approved,Active
45,150110038,Credit,Approved,Active
46,150110039,Credit,Approved,Active
47,150110061,Credit,Approved,Active
48,154070004,Audit,Approved,Active
49,154076008,Audit,Approved,Active
50,15D070014,Credit,Approved,Active
51,15D070023,Credit,Approved,Active
52,15D070045,Credit,Approved,Active
53,15D070053,Credit,Approved,Active
54,15D070063,Credit,Approved,Active
55,15D110003,Credit,Approved,Active
56,15D170007,Credit,Approved,Active
57,15D170016,Credit,Approved,Active
58,15I190005,Credit,Approved,Active
59,15I190011,Credit,Approved,Active
60,160050016,Credit,Approved,Active
61,160050021,Credit,Not Approved,Active
62,160050024,Credit,Approved,Active
63,160050034,Credit,Approved,Active
64,160050041,Credit,Approved,Active
65,160050044,Credit,Approved,Active
66,160050048,Credit,Approved,Active
67,160050062,Credit,Approved,Active
68,160050063,Credit,Approved,Active
69,160050064,Credit,Approved,Active
70,160050066,Credit,Approved,Active
71,160050069,Credit,Approved,Active
72,160050075,Credit,Approved,Active
73,160050076,Credit,Approved,Active
74,160050077,Credit,Approved,Active
75,160050080,Credit,Approved,Active
76,160050087,Credit,Approved,Active
77,160050090,Credit,Approved,Active
78,160050092,Credit,Approved,Active
79,160050095,Credit,Approved,Active
80,160050097,Credit,Approved,Active
81,160050098,Credit,Approved,Active
82,160050099,Credit,Approved,Active
83,160050100,Credit,Approved,Active
84,160110023,Credit,Approved,Active
85,160110094,Credit,Approved,Active
86,163079006,Credit,Approved,Active
87,16307R005,Credit,Approved,Active
88,163190003,Credit,Approved,Active
89,163190027,Audit,Approved,Active
90,174077002,Credit,Approved,Active
